pub_date	title	venue	excerpt	citation	url_slug	paper_url
2025-01-01	A Unified Hypergraph Framework for Inter and Intra-Session Dynamics in Session-Based Social Recommendations	IEEE Transactions on Big Data	Unified framework for session-based social recommendations.	Bilal Khan, Jia Wu, Jian Yang, Shan Xue, and Malik Khizar Hayat, "A Unified Hypergraph Framework for Inter and Intra-Session Dynamics in Session-Based Social Recommendations." IEEE Transactions on Big Data, 2025.	hypergraph-framework-session-based	https://doi.org/10.1109/TBDATA.2025.3566617
2025-01-01	Self-supervised Time-aware Heterogeneous Hypergraph Learning for Dynamic Graph-level Classification	Proceedings of the 18th International Conference on Web Search and Data Mining (WSDM)	Time-aware heterogeneous hypergraph learning for dynamic graphs.	Malik Khizar Hayat, Shan Xue, Jia Wu, Bilal Khan and Jian Yang, “Self-supervised Time-aware Heterogeneous Hypergraph Learning for Dynamic Graph-level Classification.” In Proceedings of the 18th International Conference on Web Search and Data Mining (WSDM), pp. 213-221, 2025.	hypergraph-learning-wsdm	https://doi.org/10.1145/3701551.3703504 
2024-01-01	Self-supervised Multi-hop Heterogeneous Hypergraph Embedding with Informative Pooling for Graph-level Classification	Knowledge and Information Systems (KAIS)	Multi-hop heterogeneous hypergraph embedding with pooling for classification.	Malik Khizar Hayat, Shan Xue, and Jian Yang, “Self-supervised Multi-hop Heterogeneous Hypergraph Embedding with Informative Pooling for Graph-level Classification.” Knowledge and Information Systems (KAIS), vol. 67, pp. 1945-1968, 2024.	hypergraph-embedding-kais	https://doi.org/10.1007/s10115-024-02259-4
2024-01-01	Heterogeneous Hypergraph Embedding for Node Classification in Dynamic Networks	IEEE Transactions on Artificial Intelligence	Node classification using heterogeneous hypergraph embeddings.	Malik Khizar Hayat, Shan Xue, Jia Wu, and Jian Yang, “Heterogeneous Hypergraph Embedding for Node Classification in Dynamic Networks.” IEEE Transactions on Artificial Intelligence, vol 5, no. 11, pp. 5465-5477, 2024.	hypergraph-embedding-tai	https://doi.org/10.1109/TAI.2024.3450658
2023-01-01	A deep co-evolution architecture for anomaly detection in dynamic networks	Multimedia Tools and Applications	Deep co-evolution models for anomaly detection in networks.	Malik Khizar Hayat, Ali Daud, Ameen Banjar, Riad Alharbey, and Amal Bukhari, "A deep co-evolution architecture for anomaly detection in dynamic networks." Multimedia Tools and Applications, 83, 40489–40508, 2023.	co-evolution-anomaly-detection	https://doi.org/10.1007/s11042-023-17126-7
2023-01-01	Self-supervised Heterogeneous Hypergraph Learning with Context-aware Pooling for Graph-level Classification	Proceedings of the 2023 IEEE International Conference on Data Mining (ICDM)	Context-aware pooling for graph-level classification in hypergraphs.	Malik Khizar Hayat, Shan Xue, and Jian Yang, "Self-supervised Heterogeneous Hypergraph Learning with Context-aware Pooling for Graph-level Classification.", In Proceedings of the 2023 IEEE International Conference on Data Mining (ICDM), pp. 140-149, 2023.	hypergraph-learning-icdm	https://doi.org/10.1109/ICDM58522.2023.00023
2023-01-01	OpenRank: A Novel Approach to Rank Universities using Objective and Publicly Verifiable Data Sources	Library Hi-Tech	University ranking using public data sources.	Muhammad Sajid Qureshi, Ali Daud, Malik Khizar Hayat, and Muhammad Tanvir Afzal, “OpenRank: A Novel Approach to Rank Universities using Objective and Publicly Verifiable Data Sources.”, Library Hi-Tech, vol. 41, no. 2, pp. 474-500, 2023.	openrank-universities	
2022-01-01	Heading Towards Sub-discipline Rankings for Higher Education Institutions	IEEE Transactions on Computational Social Systems	Research on sub-discipline rankings for higher education.	Muhammad Sajid Qureshi, Ali Daud, Malik Khizar Hayat, Min Song, and Yejin Park, “Heading Towards Sub-discipline Rankings for Higher Education Institutions.”, IEEE Transactions on Computational Social Systems, vol. 10, no. 6, pp. 3536-3555, 2022.	subdiscipline-rankings	https://doi.org/10.1109/TCSS.2022.3206396
2022-01-01	Identifying Rising Stars via Supervised Machine Learning	IEEE Transactions on Computational Social Systems	Using supervised learning to identify rising stars.	Ali Daud, Naveed-ul-Islam, Imran Razzak, and Malik Khizar Hayat, "Identifying Rising Stars via Supervised Machine Learning.", IEEE Transactions on Computational Social Systems, vol. 10, no. 5, pp. 2374-2384, 2022.	rising-stars-supervised	https://doi.org/10.1109/TCSS.2022.3178070
2022-01-01	Indexing Important Drugs from Medical Literature	Scientometrics	Research on drug indexing in medical literature.	Riad Alharbey, Jong In Kim, Ali Daud, Min Song, Abdulrahman A. Alshdadi, and Malik Khizar Hayat, “Indexing Important Drugs from Medical Literature.”, Scientometrics, vol. 127, pp. 2661-2681, 2022.	indexing-important-drugs	https://doi.org/10.1007/s11192-022-04340-7
